Organization,Segment,City / Market,State,Website,Public Contact,TREC Sales-Agent Exam Count,Priority,Why It Matters,Source URL
VanEd,Real Estate School,Online / Texas,TX,https://www.vaned.com/,303-245-0258,59,Medium,Online provider serving Texas candidates.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Continuing Education for Licensing Inc.,Real Estate School,Texas,TX,,,34,Medium,Smaller provider with broker and sales-agent activity.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Texas State Online Real Estate LLC,Real Estate School,Houston,TX,,713-503-8958,28,Medium,Texas-focused online provider; Houston-based contact.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Pioneer School of Real Estate LLC,Real Estate School,Texas,TX,,,28,Medium,Independent provider; approachable channel partner.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Real Estate Training and Technology Licensing School,Real Estate School,Texas,TX,,,18,Low,Small provider; long-tail partnership target.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Ford High School,Real Estate School / Education,Texas,TX,,,18,Low,Education pipeline; possible institutional outreach.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
All About Texas Real Estate LLC,Real Estate School,Texas,TX,,,12,Low,Small independent provider.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
AbsoluteCE,Real Estate School,Texas,TX,,,10,Low,"Small provider, potential affiliate relationship.",https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Modern Agent Institute,Real Estate School,Texas,TX,,,9,Low,Small provider; agent-development positioning possible.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
License Lion,Real Estate School,Texas,TX,,,7,Low,Small online/provider prospect.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Lewisville Independent School District,Real Estate School / Education,Lewisville,TX,,,6,Low,Institutional education path; lower immediate priority.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
MLS Campus Inc,Real Estate School,Texas,TX,,,5,Low,Small provider.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
REAL Agent Services LLC,Real Estate School,Texas,TX,,,4,Low,Small provider.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Purvis Real Estate Training Institute,Real Estate School,Texas,TX,,,3,Low,Small provider.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Ysleta Independent School District,Real Estate School / Education,El Paso,TX,,,5,Low,Institutional education path in El Paso.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
Perry Real Estate School,Real Estate School,Texas,TX,,,1,Low,Small provider.,https://www.trec.texas.gov/education/education-provider-exam-passage-rates-sales-agents-and-brokers/
